Date,Total Holdings
2024-01-18,108
2024-01-19,110
2024-01-20,110
2024-01-21,110
2024-01-22,111
2024-01-23,111
2024-01-24,111
2024-01-25,111
2024-01-26,111
2024-01-27,111
2024-01-28,111
2024-01-29,111
2024-01-30,109
2024-01-31,110
2024-02-01,110
2024-02-02,111
2024-02-03,110
2024-02-04,110
2024-02-05,111
2024-02-06,111
2024-02-07,111
2024-02-08,110
2024-02-09,110
2024-02-10,110
2024-02-11,111
2024-02-12,110
2024-02-13,109
2024-02-14,109
2024-02-15,108
2024-02-16,107
2024-02-17,107
2024-02-18,107
2024-02-19,108
2024-02-20,108
2024-02-21,109
2024-02-22,109
2024-02-23,109
2024-02-24,109
2024-02-25,109
2024-02-26,108
2024-02-27,110
2024-02-28,109
2024-02-29,109
2024-03-01,109
2024-03-02,109
2024-03-03,109
2024-03-04,110
2024-03-05,109
2024-03-06,110
2024-03-07,111
2024-03-08,111
2024-03-09,111
2024-03-10,111
2024-03-11,110
2024-03-12,111
2024-03-13,109
2024-03-14,109
2024-03-15,109
2024-03-16,110
2024-03-17,110
2024-03-18,110
2024-03-19,110
2024-03-20,111
2024-03-21,111
2024-03-22,110
2024-03-23,110
2024-03-24,110
2024-03-25,104
2024-03-26,104
2024-03-27,104
2024-03-28,104
2024-03-29,105
2024-03-30,106
2024-03-31,105
2024-04-01,105
2024-04-02,106
2024-04-03,105
2024-04-04,104
2024-04-05,103
2024-04-06,104
2024-04-07,105
2024-04-08,105
2024-04-09,106
2024-04-10,107
2024-04-11,107
2024-04-12,106
2024-04-13,106
2024-04-14,106
2024-04-15,105
2024-04-16,105
2024-04-17,106
2024-04-18,104
2024-04-19,104
2024-04-20,104
2024-04-21,104
2024-04-22,105
2024-04-23,103
2024-04-24,104
2024-04-25,104
2024-04-26,104
2024-04-27,104
2024-04-28,105
2024-04-29,105
2024-04-30,105
2024-05-01,105
2024-05-02,105
2024-05-03,105
2024-05-04,105
2024-05-05,105
2024-05-06,106
2024-05-07,106
2024-05-08,105
2024-05-09,106
2024-05-10,106
2024-05-11,106
2024-05-12,106
2024-05-13,106
2024-05-14,106
2024-05-15,105
2024-05-17,106
2024-05-18,105
2024-05-19,106
2024-05-20,105
2024-05-21,106
2024-05-22,106
2024-05-23,106
2024-05-24,105
2024-05-25,106
2024-05-26,106
2024-05-27,106
2024-05-28,109
2024-05-29,109
2024-05-30,106
2024-05-31,105
2024-06-01,104
2024-06-03,103
2024-06-04,104
2024-06-05,103
2024-06-06,104
2024-06-07,103
2024-06-08,104
2024-06-09,104
2024-06-10,105
2024-06-11,105
2024-06-12,105
2024-06-13,105
2024-06-15,106
2024-06-16,106
2024-06-17,106
2024-06-18,106
2024-06-19,107
2024-06-20,106
2024-06-21,105
2024-06-22,106
2024-06-23,105
2024-06-24,106
2024-06-25,105
2024-06-26,105
2024-06-28,105
2024-06-29,105
2024-06-30,105
2024-07-01,104
2024-07-02,105
2024-07-03,106
2024-07-04,105
2024-07-05,106
2024-07-06,105
2024-07-07,106
2024-07-08,106
2024-07-09,106
2024-07-10,105
2024-07-11,105
2024-07-12,105
2024-07-13,105
2024-07-14,104
2024-07-15,102
2024-07-16,104
2024-07-17,104
2024-07-18,104
2024-07-19,103
2024-07-20,104
2024-07-21,103
2024-07-22,103
2024-07-23,104
2024-07-24,104
2024-07-25,104
2024-07-26,104
2024-07-27,104
2024-07-28,104
2024-07-29,104
2024-07-30,104
2024-07-31,104
2024-08-01,104
2024-08-02,103
2024-08-03,103
2024-08-04,103
2024-08-05,103
2024-08-06,103
2024-08-07,104
2024-08-08,104
2024-08-09,104
2024-08-10,104
2024-08-11,104
2024-08-12,104
2024-08-13,104
2024-08-14,103
2024-08-15,102
2024-08-16,101
2024-08-17,102
2024-08-18,102
2024-08-19,101
2024-08-20,101
2024-08-21,100
2024-08-22,100
2024-08-23,100
2024-08-24,100
2024-08-25,100
2024-08-26,100
2024-08-27,101
2024-08-28,101
2024-08-29,101
2024-08-30,101
2024-08-31,101
2024-09-01,101
2024-09-02,101
2024-09-03,101
2024-09-04,101
2024-09-05,102
2024-09-06,102
2024-09-07,102
2024-09-08,102
2024-09-09,103
2024-09-10,101
2024-09-11,101
2024-09-12,101
2024-09-13,101
2024-09-14,101
2024-09-15,102
2024-09-16,102
2024-09-17,102
2024-09-18,103
2024-09-19,103
2024-09-20,103
2024-09-21,103
2024-09-22,103
2024-09-23,103
2024-09-24,103
2024-09-25,103
2024-09-26,102
2024-09-27,102
2024-09-28,103
2024-09-29,103
2024-09-30,103
2024-10-01,103
2024-10-02,102
2024-10-03,102
2024-10-04,102
2024-10-05,102
2024-10-06,102
2024-10-07,101
2024-10-08,100
2024-10-09,100
2024-10-10,100
2024-10-11,100
2024-10-12,100
2024-10-13,101
2024-10-14,100
2024-10-15,100
2024-10-16,100
2024-10-17,101
2024-10-18,102
2024-10-19,101
2024-10-20,100
2024-10-21,101
2024-10-22,101
2024-10-23,101
2024-10-24,101
2024-10-25,100
2024-10-26,100
2024-10-27,100
2024-10-28,100
2024-10-29,99
2024-10-30,99
2024-10-31,99
2024-11-01,99
2024-11-02,99
2024-11-03,99
2024-11-04,100
2024-11-05,100
2024-11-06,100
2024-11-07,99
2024-11-08,99
2024-11-09,99
2024-11-10,99
2024-11-11,98
2024-11-12,97
2024-11-13,97
2024-11-14,97
2024-11-15,97
2024-11-16,97
2024-11-17,97
2024-11-18,97
2024-11-19,97
2024-11-20,96
2024-11-21,97
2024-11-22,97
2024-11-23,97
2024-11-24,96
2024-11-25,96
2024-11-26,97
2024-11-27,97
2024-11-28,97
2024-11-29,97
2024-11-30,97
2024-12-01,97
2024-12-02,96
2024-12-03,96
2024-12-04,96
2024-12-05,95
2024-12-06,95
2024-12-07,95
2024-12-08,95
2024-12-09,96
2024-12-10,97
2024-12-11,97
2024-12-12,96
2024-12-13,95
2024-12-14,96
2024-12-15,96
2024-12-16,96
2024-12-17,96
2024-12-18,97
2024-12-19,95
2024-12-20,95
2024-12-21,95
2024-12-22,95
2024-12-23,95
2024-12-24,96
2024-12-25,96
2024-12-26,97
2024-12-27,97
2024-12-28,97
2024-12-29,97
2024-12-30,97
2024-12-31,96
2025-01-01,97
2025-01-02,97
2025-01-03,97
2025-01-04,97
2025-01-05,97
2025-01-06,97
2025-01-07,97
2025-01-08,97
2025-01-09,97
2025-01-10,96
2025-01-11,97
2025-01-12,97
2025-01-13,97
2025-01-14,97
2025-01-15,97
2025-01-16,97
2025-01-17,96
